MSA,COUNTY,CITY,C.O.L
Anaheim-Santa Ana-Irvine ,Orange,Aliso Viejo,146.4
Anaheim-Santa Ana-Irvine ,Orange,Anaheim,146.4
Anaheim-Santa Ana-Irvine ,Orange,Brea,146.4
Anaheim-Santa Ana-Irvine ,Orange,Buena Park,146.4
Anaheim-Santa Ana-Irvine ,Orange,Costa Mesa,146.4
Anaheim-Santa Ana-Irvine ,Orange,Cypress,146.4
Anaheim-Santa Ana-Irvine ,Orange,Dana Point,146.4
Anaheim-Santa Ana-Irvine ,Orange,Fountain Valley,146.4
Anaheim-Santa Ana-Irvine ,Orange,Fullerton,146.4
Anaheim-Santa Ana-Irvine ,Orange,Garden Grove,146.4
Anaheim-Santa Ana-Irvine ,Orange,Huntington Beach,146.4
Anaheim-Santa Ana-Irvine ,Orange,Irvine,146.4
Anaheim-Santa Ana-Irvine ,Orange,La Habra,146.4
Anaheim-Santa Ana-Irvine ,Orange,La Palma,146.4
Anaheim-Santa Ana-Irvine ,Orange,Laguna Beach,146.4
Anaheim-Santa Ana-Irvine ,Orange,Laguna Hills,146.4
Anaheim-Santa Ana-Irvine ,Orange,Laguna Niguel,146.4
Anaheim-Santa Ana-Irvine ,Orange,Laguna Woods,146.4
Anaheim-Santa Ana-Irvine ,Orange,Lake Forest,146.4
Anaheim-Santa Ana-Irvine ,Orange,Los Alamitos,146.4
Anaheim-Santa Ana-Irvine ,Orange,Mission Viejo,146.4
Anaheim-Santa Ana-Irvine ,Orange,Newport Beach,146.4
Anaheim-Santa Ana-Irvine ,Orange,Orange,146.4
Anaheim-Santa Ana-Irvine ,Orange,Placentia,146.4
Anaheim-Santa Ana-Irvine ,Orange,Rancho Santa Margarita,146.4
Anaheim-Santa Ana-Irvine ,Orange,San Clemente,146.4
Anaheim-Santa Ana-Irvine ,Orange,San Juan Capistrano,146.4
Anaheim-Santa Ana-Irvine ,Orange,Santa Ana,146.4
Anaheim-Santa Ana-Irvine ,Orange,Seal Beach,146.4
Anaheim-Santa Ana-Irvine ,Orange,Stanton,146.4
Anaheim-Santa Ana-Irvine ,Orange,Tustin,146.4
Anaheim-Santa Ana-Irvine ,Orange,Villa Park,146.4
Anaheim-Santa Ana-Irvine ,Orange,Westminster,146.4
Anaheim-Santa Ana-Irvine ,Orange,Yorba Linda,146.4
Bakersfield ,Kern,Arvin,103.4
Bakersfield ,Kern,Bakersfield,103.4
Bakersfield ,Kern,California City,103.4
Bakersfield ,Kern,Delano,103.4
Bakersfield ,Kern,Maricopa,103.4
Bakersfield ,Kern,McFarland,103.4
Bakersfield ,Kern,Ridgecrest,103.4
Bakersfield ,Kern,Shafter,103.4
Bakersfield ,Kern,Taft,103.4
Bakersfield ,Kern,Tehachapi,103.4
Bakersfield ,Kern,Wasco,103.4
Fresno ,Fresno,Clovis,117.3
Fresno ,Fresno,Coalinga,117.3
Fresno ,Fresno,Firebaugh,117.3
Fresno ,Fresno,Fowler,117.3
Fresno ,Fresno,Fresno,117.3
Fresno ,Fresno,Huron,117.3
Fresno ,Fresno,Kerman,117.3
Fresno ,Fresno,Kingsburg,117.3
Fresno ,Fresno,Mendota,117.3
Fresno ,Fresno,Orange Cove,117.3
Fresno ,Fresno,Parlier,117.3
Fresno ,Fresno,Reedley,117.3
Fresno ,Fresno,San Joaquin,117.3
Fresno ,Fresno,Sanger,117.3
Fresno ,Fresno,Selma,117.3
Los Angeles-Long Beach-Glendale ,Los Angeles,Agoura Hills,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Alhambra,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Arcadia,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Artesia,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Avalon,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Azusa,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Baldwin Park,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Bell,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Bell Gardens,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Bellflower,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Beverly Hills,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Bradbury,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Burbank,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Calabasas,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Carson,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Cerritos,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Claremont,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Commerce,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Compton,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Covina,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Cudahy,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Culver City,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Diamond Bar,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Downey,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Duarte,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,El Monte,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,El Segundo,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Gardena,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Glendale,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Glendora,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Hawaiian Gardens,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Hawthorne,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Hermosa Beach,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Hidden Hills,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Huntington Park,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Industry,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Inglewood,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,Irwindale,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,La Cañada Flintridge,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,La Habra Heights,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,La Mirada,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,La Puente,136.4
Los Angeles-Long Beach-Glendale ,Los Angeles,La Verne,136.4
